,venue_id,venue_name,venue_categories,venue_hasPerk,venue_lat,venue_lng,neighborhood,verified,likes_count,rating,neighborhood_lat_lng,label
27,50885641e4b05e0a946f4423,الفطيرة الدمشقية,Arepa Restaurant,False,24.59056483259285,46.776143177134045, Al Aziziyah District حي العزيزية,False,4,7.8,"24.58942265,46.77363440285736",1
28,57f2b7d8498e96a429ceff0f,مطبق تلال غوار,Theme Restaurant,False,24.586772,46.78035, Al Aziziyah District حي العزيزية,False,0,7.8,"24.58942265,46.77363440285736",1
29,50e31ba4e4b01580b75bf071,مطعم خندلة,Turkish Restaurant,False,24.586298056381803,46.78189886215309, Al Aziziyah District حي العزيزية,False,13,8.4,"24.58942265,46.77363440285736",1
30,568fb7ea498e7bcf9edae514,Marmara Istanbul Restaurant,Turkish Restaurant,False,24.569081305040026,46.753872969574566, Al Aziziyah District حي العزيزية,False,3,7.8,"24.58942265,46.77363440285736",1
31,520bd7fa11d2caaabfcd265e,بوفية الإطلال | تشباتي ومطبق,Afghan Restaurant,False,24.766670738617943,46.8065757428205, Al Nahdhah District حي النهضة,False,8,7.5,"24.75879795,46.81326803253911",1
32,531cd656498ed5c01f22a76a,فوال مدري شسمه,Afghan Restaurant,False,24.776664,46.823397, Al Nahdhah District حي النهضة,False,1,7.8,"24.75879795,46.81326803253911",1
33,4f355790e4b0aa70b34f62d3,Al-Tazaj (الطازج),Fast Food Restaurant,False,24.749733271515,46.817535820498584, Al Nahdhah District حي النهضة,False,91,7.7,"24.75879795,46.81326803253911",1
34,507e4b94e4b0fd19feb96e5f,صب واي,Cuban Restaurant,False,24.768348577387428,46.83151577860029, Al Nahdhah District حي النهضة,False,3,7.8,"24.75879795,46.81326803253911",1
35,5ae3605e89ad46002495ddc0,لقيمات اجدادنا,Dumpling Restaurant,False,24.761486,46.798218, Al Nahdhah District حي النهضة,False,2,7.8,"24.75879795,46.81326803253911",1
36,5ac5a757ca18ea0e44897ef5,فلافل ثمار,Falafel Restaurant,False,24.754182,46.816788, Al Nahdhah District حي النهضة,False,9,8.0,"24.75879795,46.81326803253911",1
37,4fc51c65e4b0093f0b50b624,فلافل ابو عدنان,Falafel Restaurant,False,24.771088847118893,46.813388628761814, Al Nahdhah District حي النهضة,False,97,8.5,"24.75879795,46.81326803253911",1
38,56ba30cd498e8546c990cc05,Falafel Pie (فطيرة الفلافل),Falafel Restaurant,False,24.75253242004043,46.78373252615914, Al Nahdhah District حي النهضة,False,26,8.1,"24.75879795,46.81326803253911",1
39,4eadb128b634339687da55a0,McDonald's ماكدونالدز,Fast Food Restaurant,False,24.76177608636694,46.79905009810307, Al Nahdhah District حي النهضة,True,159,7.6,"24.75879795,46.81326803253911",1
40,53e07080498e04277b6fe845,Galaxy restaurant,Indian Restaurant,False,24.77148824267859,46.81487679468279, Al Nahdhah District حي النهضة,False,3,7.8,"24.75879795,46.81326803253911",1
41,535a6ba4498e7c5784655477,spice (سبايس),Indian Restaurant,False,24.762562967486648,46.799916020624856, Al Nahdhah District حي النهضة,True,23,6.3,"24.75879795,46.81326803253911",1
42,57f13f49498e15fd39adb6fd,La Casa Pasta,Italian Restaurant,False,24.753953020630533,46.82410984377756, Al Nahdhah District حي النهضة,False,12,8.0,"24.75879795,46.81326803253911",1
43,5e23606f378da20008e0cd5a,Ennabi Grill (المشوي العنابي),Kebab Restaurant,False,24.762666,46.810154, Al Nahdhah District حي النهضة,False,5,6.7,"24.75879795,46.81326803253911",1
44,5cdc8b2e75eee4002c98d1d2,حاشي باشا,Kebab Restaurant,False,24.769183,46.81055300000001, Al Nahdhah District حي النهضة,False,0,7.8,"24.75879795,46.81326803253911",1
45,58adcbb9e7f1cf56f9adb5e2,GRILLY (جريلي),Kebab Restaurant,False,24.764339,46.802556, Al Nahdhah District حي النهضة,False,2,7.8,"24.75879795,46.81326803253911",1
