,venue_Neighborhood,venue_id,venue_name,venue_categories,venue_hasPerk,venue_lat,venue_lng,venue_distance,venue_postalCode,venue_city,venue_state,venue_formattedAddress,venue_neighborhood,venue_address,venue_crossStreet
15,malga,550c2d94498e3245bca43032,Watermelon,French Restaurant,False,24.67565837764799,46.63355380950696,14314,,Riyadh,KSA,"['Tahlia Street', 'Riyadh', 'المملكة العربية السعودية']",,Tahlia Street,
16,malga,5deab815e9c26800076fdf81,Madeleine,French Restaurant,False,24.73078,46.582486,8002,13711,الرياض,منطقة الرياض‎,"['الرياض 13711', 'المملكة العربية السعودية']",,,
18,malga,5df68c283ab5900008951f60,تسالي صحوح,French Restaurant,False,24.677613,46.815128,25648,14254,الرياض,منطقة الرياض‎,"['الرياض 14254', 'المملكة العربية السعودية']",,,
19,malga,5d384cdb7ad6090008f9fefd,Lenôtre,French Restaurant,False,24.683405,46.630019,13393,12512,الرياض,منطقة الرياض‎,"['(لينوتريه) (Dareen Street)', 'الرياض 12512', 'المملكة العربية السعودية']",,(لينوتريه),Dareen Street
20,malga,5262ca8711d269bc8b5c07ad,Le Prince لو برانس,French Restaurant,False,24.798012923920993,46.742043170153465,14286,,الرياض,منطقة الرياض‎,"['Granada district (Khalid Bin Al Walid)', 'الرياض', 'المملكة العربية السعودية']",,Granada district,Khalid Bin Al Walid
21,malga,505f4d92e4b0afdc79e48cf7,France express,French Restaurant,False,24.781516363049562,46.74022993850414,14261,,,,['المملكة العربية السعودية'],,,
22,malga,5da608c94dc7c200089583e6,Caviar Kaspia Pop-Up (Riyadh Season 2019),Seafood Restaurant,False,24.648447,46.70942,20204,12631,الرياض,منطقة الرياض‎,"['الرياض 12631', 'المملكة العربية السعودية']",,,
23,malga,5ae7cf7e89ad460024edf6a0,Gontran Cherrier,French Restaurant,False,24.731727851259887,46.64794921875,9045,,الرياض,منطقة الرياض‎,"['الرياض', 'المملكة العربية السعودية']",,,
24,malga,4de687327d8b53987c634f39,Le Relais de l'Entrecôte (لوروليه دو لانتغيكوت),French Restaurant,False,24.704151768065167,46.70231804895251,14870,,الرياض,منطقة الرياض‎,"['Prince Mohammad Bin Abdulaziz Rd.', 'الرياض', 'المملكة العربية السعودية']",,Prince Mohammad Bin Abdulaziz Rd.,
26,malga,571273b0498e7956d8f4d08e,Le D'or Cafe & Lounge (لي د'ور كافيه & لاونج),French Restaurant,False,24.75322626060356,46.611953837793635,5409,,الرياض,منطقة الرياض‎,"['Prince Turki Ibn Abdulaziz-Senior Rd (Saeed Al Mutaee St)', 'الرياض', 'المملكة العربية السعودية']",,Prince Turki Ibn Abdulaziz-Senior Rd,Saeed Al Mutaee St
28,malga,4f1a96f2e4b08fa663deae89,PAUL (پول),French Restaurant,False,24.697305731620403,46.68664470896597,14423,12213,الرياض,منطقة الرياض‎,"['Tahlia St. (Tahlia St)', 'الرياض 12213', 'المملكة العربية السعودية']",,Tahlia St.,Tahlia St
