,venue_id,venue_name,venue_categories,venue_hasPerk,venue_lat,venue_lng,neighborhood,verified,likes_count,rating,neighborhood_lat_lng
415,5277be2d11d268b840aa729d,oceanx,Seafood Restaurant,False,24.826702854965387,46.660072803497314, Al Yasmin District,False,6,6.9,"24.8227909,46.63976191406831"
416,5ba27ce2471d6e00396d32a3,Shrimp Shack (شرمبشاك),Seafood Restaurant,False,24.692082742915357,46.701394249936314, As Sulaymaniyah District حي السليمانية,False,126,7.9,"24.6989148,46.708173863609446"
417,5de3ed78616eb4000833c0f3,Scott’s Resturant,Seafood Restaurant,False,24.648255,46.709123999999996, Al Murabba District حي المربع,False,2,7.6,"24.66220335,46.70920480249076"
418,4f3d68ace4b02d5ef8aae12a,المطاعم البحرية,Seafood Restaurant,False,24.763014944392616,46.76230482344202, Ghirnatah District حي غرناطة,False,10,6.9,"24.7919157,46.74432949210845"
419,54625938498e09ae246ed7b1,Shrimplus (شريمبلس),Seafood Restaurant,False,24.81818500697403,46.6422952075001, Al Yasmin District,False,1111,8.5,"24.8227909,46.63976191406831"
420,5d56ea503a559e0007bf64e5,Catch Of The Day,Seafood Restaurant,False,24.764101,46.624140999999995, Al Aqeeq District حي العقيق,False,211,7.1,"24.7798792,46.6268087019194"
421,4ce9055ab997548104fdff44,Golden Lobster (مطعم الربيان الذهبي),Seafood Restaurant,False,24.704611789138198,46.67846331045978, Al Olaya District حي العليا,False,239,7.6,"24.69216205,46.686588958007334"
422,592728a4dab4b1481e159e7a,Ocean Basket (أوشن باسكت),Seafood Restaurant,False,24.78292815169692,46.66146968046484, Al Ghadir District حي الغدير,False,6,7.2,"24.7717442,46.654636302380695"
423,55377bae498e8bc1e408d3b3,Shake It (شيك ات),Fast Food Restaurant,False,24.807723507329253,46.615936697402184, Al Malga District حي الملقا,False,108,7.9,"24.800734900000002,46.60070282369142"
424,5c1f6ffa41b6c9002509563b,وادي تهامة للأكلات الشعبية,Southern / Soul Food Restaurant,False,24.738692999999998,46.667956, King Fahd District حي الملك فهد,False,0,7.8,"24.740602850000002,46.67036378467072"
425,50919ff9e4b033509df53ce4,Fayroz Gardn,Southern / Soul Food Restaurant,False,24.682494316467608,46.69734064232091, Al Olaya District حي العليا,False,1,7.8,"24.69216205,46.686588958007334"
426,5378aacb498ee24fa7fcdef1,"مطعم المندي "" سريع سريع """,Southern / Soul Food Restaurant,False,24.657575566447576,46.70584289725208, Al Murabba District حي المربع,False,1,7.8,"24.66220335,46.70920480249076"
427,56621a73498e7d1d090138d2,julkegsnadash,Southern / Soul Food Restaurant,False,24.691388,46.679607, Al Olaya District حي العليا,False,0,7.8,"24.69216205,46.686588958007334"
428,53dbc6bc498edd0694c1deaf,le grano,Spanish Restaurant,False,24.705847,46.677517, Al Olaya District حي العليا,False,0,7.8,"24.69216205,46.686588958007334"
429,509bc48be4b00d566f68b497,مطعم تيتارو,Spanish Restaurant,False,24.687518058135772,46.68742002561135, Al Olaya District حي العليا,False,4,7.8,"24.69216205,46.686588958007334"
430,5d0f81dbab763600234d37b2,Mazagan Soft Cafe,Spanish Restaurant,False,24.698262,46.688373, Al Olaya District حي العليا,False,18,7.0,"24.69216205,46.686588958007334"
431,5e07c16f9939a900071d8c20,El Lechazo Restaurant,Spanish Restaurant,False,24.765234,46.602447999999995, Hittin District حي حطين,False,2,7.5,"24.7609724,46.60218912073967"
432,5d381529c46dcb0008343fc5,Riyad Mall,Sri Lankan Restaurant,False,24.742729999999998,46.657989, Al Muhammadiyah District حي المحمدية,False,0,7.8,"24.731797649999997,46.64991017633719"
433,57041063498e7bb04d1b54ad,The Diner,Sri Lankan Restaurant,False,24.671151119608044,46.73068794283913, Al Malaz District حي الملز,False,8,7.7,"24.6641208,46.73369757161316"
434,5d98cbfeaa006a0008a885ef,حلويات بلو لاين,Sri Lankan Restaurant,False,24.752627,46.664688, Almuruj District حي المروج,False,0,7.8,"24.758710649999998,46.661198204891505"
435,57063273cd103cd2d28c138d,The Diner Restaurant,Sri Lankan Restaurant,False,24.671387,46.730675, Al Malaz District حي الملز,False,1,7.8,"24.6641208,46.73369757161316"
436,56621970498ef0856dc1ec91,anamsna,Sri Lankan Restaurant,False,24.691446900068026,46.679868844542455, Al Olaya District حي العليا,False,0,7.8,"24.69216205,46.686588958007334"
437,56d8b63fcd10848eda838d02,Sultan's Steakhouse (سلطانز ستيك هاوس),Turkish Restaurant,False,24.750108400658984,46.6141502178356, Hittin District حي حطين,False,3080,8.8,"24.7609724,46.60218912073967"
438,5d63b631a94f4a000712d6aa,كبابجي محمود,Turkish Restaurant,False,24.788526,46.658584999999995, Al Rabiea District حي الربيع,False,48,7.1,"24.797262699999997,46.66386796457978"
439,5bf2d0752bf29b002d7964ff,taste sugar,Swiss Restaurant,False,24.789334,46.740766, Ghirnatah District حي غرناطة,False,0,7.8,"24.7919157,46.74432949210845"
440,4f12f3d7e4b0865b091d65cd,Dandany دندني,Swiss Restaurant,False,24.69532585144043,46.68068313598633, Al Olaya District حي العليا,False,0,7.8,"24.69216205,46.686588958007334"
441,56621a09498e79f35c70b4b8,yufaks,Swiss Restaurant,False,24.69151,46.679577, Al Olaya District حي العليا,False,0,7.8,"24.69216205,46.686588958007334"
442,56338190498e966fc2990860,الخليج ستور,Swiss Restaurant,False,24.592512,46.653775, Zahrat al Badiah District ظهرة البديعة,False,1,7.8,"24.59795765,46.64831865202828"
443,5661fd23498ec6e76e3ae382,bugnaw,Swiss Restaurant,False,24.691309,46.679706, Al Olaya District حي العليا,False,0,7.8,"24.69216205,46.686588958007334"
